title_1255	5	#1222:15
title_1278	5	#1163:75
mitigation-CWE-329-4f837bcb-1dca-4174-8cf3-b82969e3bcd3	2	CVE-2018-9248
title_1794	5	#1177:22
CAPEC-649	3	CWE-46
title_352	5	#1178:0
CVE-2003-0350	7	CWE-422
CVE-2004-0816	7	CWE-191
CWE-665	2	CVE-2001-1471
CAPEC-613	3	CWE-201
CVE-2004-0230	7	CWE-334
CVE-2019-6824	7	CWE-119
CVE-2019-11714	7	CWE-20
CVE-2009-0265	7	CWE-295
CWE-201	6	CAPEC-622
title_53	5	#1210:46
CVE-2019-1010299	7	CWE-200
CAPEC-275	0	#1171:6
mitigation-CWE-384-ee030d30-83d2-486a-b22e-a9eee32099ef	2	CVE-2018-13825
title_666	5	#1162:67
CAPEC-608	0	#1163:34
CVE-2004-1395	7	CWE-394
CAPEC-180	0	#1166:9
mitigation-CWE-384-ee030d30-83d2-486a-b22e-a9eee32099ef	2	CVE-2019-1003005
title_199	5	#1184:61
CAPEC-83	0	#1183:37
mitigation-CWE-760-6ecdce3f-18e2-4a6a-b9a9-c64dfb8cbca7	2	CVE-2018-18681
title_632	5	#1196:28
title_1795	5	#1188:59
CAPEC-78	3	CWE-697
CAPEC-487	3	CWE-770
CWE-20	2	CVE-2019-1010245
title_412	5	#1166:49
CWECategory-320	2	CVE-2018-15769
CVE-2019-3571	7	CWE-20
mitigation-CWE-1023-3ca27529-8e50-4e4f-9649-b96579270e5c	2	CVE-2013-6753
CVE-2005-2291	7	CWE-214
title_107	5	#1175:34
CVE-2012-4412	7	CWECategory-189
#290:0	4	title_456
mitigation-CWE-128-c81df01f-055d-4129-bb75-8c61e318669b	2	CVE-2009-3352
mitigation-CWE-329-4f837bcb-1dca-4174-8cf3-b82969e3bcd3	2	CVE-2005-4620
CAPEC-200	0	#1217:2
CAPEC-390	0	#1197:35
CVE-2019-4298	7	CWECategory-264
title_1393	5	#1212:44
CAPEC-50	3	CWE-522
title_967	5	#1221:46
title_416	5	#1185:55
CVE-2019-12171	7	CWE-327
mitigation-CWE-268-9d9713a4-0a73-402c-8582-d266ef67a167	2	CVE-2008-6382
CWE-749	2	CVE-2016-6482
title_1504	5	#1172:62
CAPEC-586	3	CWE-502
title_938	5	#1223:3
#291:0	4	title_5
CVE-2000-1133	7	CWE-41
DetectionMethod-CWE-732-e495e106-1252-4724-8ad3-44fa36378226	2	CVE-2011-0654
